solardev_pk,serial,device_type,model,capacity_kwp,status,is_active,branch_id,branch_name,created_at
1,3131957722,COLLECTOR,,0.0,online,True,4,Residence,2025-11-04 11:30:51.970325+00:00
2,2502213589,INVERTER,,20.0,online,True,4,Residence,2025-11-04 11:30:51.984133+00:00
3,3135207752,COLLECTOR,,0.0,online,True,4,Residence,2025-11-04 11:30:51.994591+00:00
4,2502213587,INVERTER,,20.0,online,True,4,Residence,2025-11-04 11:30:52.006387+00:00
5,2502213587M01,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.018080+00:00
6,13603000D3060012,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.029956+00:00
7,13603000D3050159,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.041319+00:00
8,13603000D3050111,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.052299+00:00
9,13603000D3050555,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.064282+00:00
10,13603000D3060007,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.074316+00:00
11,13603000D3050553,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.085669+00:00
12,13603000D3040531,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.096250+00:00
13,13603000D3050188,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.106184+00:00
14,13603000D3050172,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.119259+00:00
15,13603000D3050022,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.132152+00:00
16,13603000D3050226,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.143264+00:00
17,13603000D3050100,BATTERY,,0.0,online,True,4,Residence,2025-11-04 11:30:52.155724+00:00
