day_local,branch_id,device_id,daily_active_production,daily_consumption,daily_energy_buy,daily_energy_sell
2025-11-04,4,2,51.3,100.4,36.9,0.0
2025-11-04,4,4,102.7,121.9,36.4,0.0
2025-11-05,4,2,51.3,102.4,44.9,0.0
2025-11-05,4,4,102.7,122.6,44.2,0.0
2025-11-06,4,2,47.2,103.2,47.1,0.0
2025-11-06,4,4,92.7,120.6,46.4,0.0
2025-11-07,4,2,47.2,97.9,48.2,0.0
2025-11-07,4,4,91.3,111.0,47.7,0.0
2025-11-08,4,2,63.0,108.5,49.9,0.0
2025-11-08,4,4,110.0,128.4,49.4,0.0
2025-11-09,4,2,63.0,109.0,36.4,0.0
2025-11-09,4,4,110.0,128.8,35.7,0.0
2025-11-10,4,2,62.2,103.4,35.4,0.0
2025-11-10,4,4,90.6,108.7,34.2,0.0
2025-11-11,4,2,62.2,104.3,31.0,0.0
2025-11-11,4,4,90.6,111.8,30.6,0.0
2025-11-12,4,2,51.9,90.4,31.8,0.0
2025-11-12,4,4,93.5,104.2,31.5,0.0
2025-11-13,4,2,58.6,97.7,29.5,0.0
2025-11-13,4,4,102.4,109.0,28.8,0.0
2025-11-14,4,2,58.6,100.3,33.7,0.0
2025-11-14,4,4,102.4,110.1,33.2,0.0
2025-11-15,4,2,41.6,85.4,36.0,0.0
2025-11-15,4,4,82.9,98.8,35.3,0.0
2025-11-16,4,2,41.1,94.2,37.2,0.0
2025-11-16,4,4,80.4,105.1,36.5,0.0
2025-11-17,4,2,50.0,102.4,40.2,0.0
2025-11-17,4,4,98.5,120.7,39.6,0.0
2025-11-18,4,2,50.0,103.1,42.1,0.0
2025-11-18,4,4,98.5,121.4,41.9,0.0
2025-11-19,4,2,47.5,95.3,36.2,0.0
2025-11-19,4,4,93.7,108.4,35.6,0.0
2025-11-20,4,2,45.9,96.1,36.1,0.0
2025-11-20,4,4,91.9,109.0,36.2,0.0
2025-11-21,4,2,43.0,84.8,47.7,0.0
2025-11-21,4,4,86.9,96.0,47.0,0.0
2025-11-22,4,2,49.6,89.4,49.1,0.0
2025-11-22,4,4,98.0,108.8,48.3,0.0
2025-11-23,4,2,49.6,90.5,35.6,0.0
2025-11-23,4,4,98.0,109.9,35.0,0.0
2025-11-24,4,2,49.5,92.6,31.6,0.0
2025-11-24,4,4,92.8,107.8,31.3,0.0
2025-11-25,4,2,52.3,100.6,35.1,0.0
2025-11-25,4,4,102.9,120.1,34.6,0.0
2025-11-26,4,2,52.3,110.3,55.9,0.0
2025-11-26,4,4,102.9,120.7,55.4,0.0
2025-11-27,4,2,42.5,112.9,59.9,0.0
2025-11-27,4,4,67.3,115.3,60.9,0.0
2025-11-28,4,2,51.6,116.3,63.2,0.0
2025-11-28,4,4,85.3,126.3,64.1,0.0
2025-11-29,4,2,51.6,117.2,62.1,0.0
2025-11-29,4,4,86.1,127.1,61.4,0.0
2025-11-30,4,2,43.7,97.6,42.5,0.0
2025-11-30,4,4,86.1,109.1,42.2,0.0
2025-12-01,4,2,49.2,105.6,44.4,0.0
2025-12-01,4,4,96.8,124.1,43.7,0.0
2025-12-02,4,2,49.2,106.2,46.8,0.0
2025-12-02,4,4,96.8,124.8,46.1,0.0
2025-12-03,4,2,47.5,104.2,54.4,0.0
2025-12-03,4,4,88.8,116.1,53.8,0.0
2025-12-04,4,2,38.9,105.1,57.6,0.0
2025-12-04,4,4,78.3,116.9,56.9,0.0
2025-12-05,4,2,38.3,100.9,54.4,0.0
2025-12-05,4,4,77.6,115.0,53.8,0.0
2025-12-06,4,2,37.0,101.4,56.7,0.0
2025-12-06,4,4,74.2,111.1,55.9,0.0
2025-12-07,4,2,37.0,101.3,55.3,0.0
2025-12-07,4,4,74.2,111.7,54.5,0.0
2025-12-08,4,2,35.2,102.5,56.3,0.0
2025-12-08,4,4,70.7,109.7,55.7,0.0
2025-12-09,4,2,44.0,103.3,59.4,0.0
2025-12-09,4,4,76.8,110.4,58.7,0.0
2025-12-10,4,2,46.4,105.6,50.5,0.0
2025-12-10,4,4,93.2,120.5,49.7,0.0
2025-12-11,4,2,46.4,106.4,49.7,0.0
2025-12-11,4,4,93.2,121.3,49.0,0.0
