id,timestamp,poll_id,generation_power,consumption_power,grid_power,purchase_power,wire_power,charge_power,discharge_power,battery_power,battery_soc,irradiate_intensity,today_generation_energy,device_count,active_modes,last_update_time,branch_id
12754,2025-12-22 13:30:00+00:00,48caa840-b68a-5068-8d4f-54257147bc31,19.366,0.013,,,0.007,-18.539,,-18.539,92.0,,,0,[],1766410630.0,4
12756,2025-12-22 13:40:00+00:00,e8915630-c498-50e7-aa4e-0cdef6e7fce8,0.33,0.036,,,0.013,,,-0.022,98.0,,,0,[],1766411313.0,4
12759,2025-12-22 13:50:00+00:00,45acb9d4-8a03-5911-a10e-2da083e13e37,0.325,0.022,,,0.009,,,-0.02,98.0,,,0,[],1766411656.0,4
12762,2025-12-22 14:00:00+00:00,89edd7b8-4710-5295-8007-94c47e4b38f1,0.301,0.021,,,0.006,,,-0.009,98.0,,,0,[],1766412340.0,4
12765,2025-12-22 14:10:00+00:00,403fba97-0c32-58ec-b037-a103b843dd2a,0.351,0.029,,,0.018,,,-0.026,98.0,,,0,[],1766413024.0,4
12772,2025-12-22 14:40:00+00:00,53192f9c-1b62-5c5b-84fd-de6e743f74be,0.152,0.012,,,0.003,,,-0.033,98.0,,,0,[],1766414917.0,4
12775,2025-12-22 14:50:00+00:00,94c07fe0-b655-5a97-beda-f8a89600f5f7,0.337,0.0,,,0.014,-0.051,,-0.018,98.0,,,0,[],1766415300.0,4
12778,2025-12-22 15:00:00+00:00,2622e37e-dbc7-5410-baa8-74678caab5cf,0.222,0.028,,,0.026,,,-0.017,98.0,,,0,[],1766416028.0,4
12781,2025-12-22 15:10:00+00:00,d2c2c29a-9aa4-5923-8858-c6ba7387dd55,0.24,0.049,,,0.017,,,-0.022,98.0,,,0,[],1766416624.0,4
12784,2025-12-22 15:20:00+00:00,72c65bed-f626-5d30-8371-e729e4a9cc2a,0.308,0.012,,,0.015,-0.068,,-0.045,98.0,,,0,[],1766417299.0,4
